Potential biomarker;Semantic types;Connected to number of subgraph concepts;Weight points
human leukocyte interferon;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;169;0
Guanosine Triphosphate;Nucleic Acid, Nucleoside, or Nucleotide;169;0
Glutathione S-Transferase;Amino Acid, Peptide, or Protein, Enzyme;169;0
Biogenic Amines;Organic Chemicals, Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine;168;0
Bilirubin;Organic Chemicals, Biologically Active Substance;168;0
Lipid Peroxides;Lipid;168;1
Vitamin A;Organic Chemicals, Pharmacologic Substance, Vitamin;168;0
multicatalytic endopeptidase complex;Amino Acid, Peptide, or Protein, Enzyme;168;0
Membrane receptor;Receptor;168;0
APP protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;167;0
N-Methylaspartate;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;167;0
Gelatinase A;Amino Acid, Peptide, or Protein, Enzyme;167;2
Nitrate;Inorganic Chemical;167;2
Proto-Oncogene Protein pp60 (c-src);Amino Acid, Peptide, or Protein, Enzyme;167;0
Folate;Organic Chemicals, Pharmacologic Substance, Vitamin;166;0
Omega-3 Fatty Acids;Lipid, Pharmacologic Substance, Biologically Active Substance;166;0
Ferritin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;166;0
Triiodothyronine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;166;0
arginine methyl ester;Amino Acid, Peptide, or Protein;166;0
Bicarbonates;Pharmacologic Substance, Inorganic Chemical;166;0
NADPH Oxidase;Amino Acid, Peptide, or Protein, Enzyme;166;0
Bile Acids;Steroid, Biologically Active Substance;165;0
caspase-3;Amino Acid, Peptide, or Protein, Enzyme;165;0
Immunoglobulin G;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;164;4
Dextran;Carbohydrate, Pharmacologic Substance;164;0
Ascorbate;Organic Chemicals, Pharmacologic Substance, Vitamin;164;0
Nucleic Acids;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;164;0
hydrochloride;Pharmacologic Substance, Inorganic Chemical;162;0
Aspartate Transaminase;Amino Acid, Peptide, or Protein, Enzyme;162;0
Proline;Amino Acid, Peptide, or Protein, Biologically Active Substance;162;1
LIPOPROTEIN LIPASE;Amino Acid, Peptide, or Protein, Enzyme;162;0
Niacin;Organic Chemicals, Pharmacologic Substance, Vitamin;161;0
Receptors, Cell Surface;Amino Acid, Peptide, or Protein, Receptor;161;0
beta-2 Adrenergic Receptors;Amino Acid, Peptide, or Protein, Receptor;161;0
Protein complex;Amino Acid, Peptide, or Protein, Biologically Active Substance;161;0
Folic Acid;Organic Chemicals, Pharmacologic Substance, Vitamin;160;4
Estrogen Receptor alpha;Amino Acid, Peptide, or Protein, Receptor;160;0
Creatine Kinase;Amino Acid, Peptide, or Protein, Enzyme;160;0
Opioid Peptide;Amino Acid, Peptide, or Protein, Biologically Active Substance;160;0
Hepatocyte Growth Factor;Amino Acid, Peptide, or Protein, Biologically Active Substance;160;0
Ligase;Amino Acid, Peptide, or Protein, Enzyme;160;0
GLUTATHIONE PEROXIDASE;Amino Acid, Peptide, or Protein, Enzyme;160;0
1,2-diacylglycerol;Lipid, Pharmacologic Substance, Biologically Active Substance;160;0
Aluminum;Element, Ion, or Isotope;159;0
Estrogen Receptors;Amino Acid, Peptide, or Protein, Receptor;159;0
Leukotrienes;Eicosanoid, Biologically Active Substance;159;0
Amyloid;Amino Acid, Peptide, or Protein, Biologically Active Substance;158;0
anakinra;Amino Acid, Peptide, or Protein, Pharmacologic Substance;158;0
Endogenous Opiates;Biologically Active Substance;158;0
prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human;Amino Acid, Peptide, or Protein, Enzyme;158;0
Glial Fibrillary Acidic Protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;157;0
Thromboxane B2;Eicosanoid;157;4
Collagen Type I;Amino Acid, Peptide, or Protein, Biologically Active Substance;157;0
Enkephalin, Methionine;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;156;3
Calcineurin;Amino Acid, Peptide, or Protein, Enzyme;156;0
Recombinant Thyroid-Stimulating Hormone;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;156;0
Valproate;Lipid, Pharmacologic Substance;155;0
Amyloid beta-Protein Precursor;Amino Acid, Peptide, or Protein;155;0
Renin;Amino Acid, Peptide, or Protein, Enzyme;155;0
alpha-Melanocyte stimulating hormone;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine, Hormone;155;0
Carrier Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;154;0
Guanylate Cyclase;Amino Acid, Peptide, or Protein, Enzyme;154;0
messenger protein;Amino Acid, Peptide, or Protein, Pharmacologic Substance;154;0
Hydroxydopamine;Organic Chemicals;153;0
Serum Albumin;Amino Acid, Peptide, or Protein;153;1
Thiamine;Organic Chemicals, Pharmacologic Substance, Vitamin;153;0
Tocopherols;Lipid, Pharmacologic Substance, Vitamin;153;0
Receptors, Opioid, mu;Amino Acid, Peptide, or Protein, Receptor;153;0
Apolipoprotein A-I;Amino Acid, Peptide, or Protein, Biologically Active Substance;153;0
CYTOCHROME C OXIDASE;Amino Acid, Peptide, or Protein, Enzyme;152;0
phosphatidylserine;Lipid;152;0
Linoleic Acid;Lipid, Pharmacologic Substance, Biologically Active Substance;152;0
beta catenin;Amino Acid, Peptide, or Protein, Biologically Active Substance;151;0
Gastrin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;151;0
Adenine Nucleotides;Nucleic Acid, Nucleoside, or Nucleotide, Pharmacologic Substance, Biologically Active Substance;151;0
Receptors, Nuclear;Amino Acid, Peptide, or Protein, Receptor;151;0
Thromboxanes;Eicosanoid, Biologically Active Substance;151;0
Peroxynitrite;Biologically Active Substance, Inorganic Chemical;151;0
Digoxin;Steroid, Carbohydrate, Pharmacologic Substance;150;0
Octreotide;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;150;0
Protein C;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;150;2
Dihydrotestosterone;Steroid, Pharmacologic Substance, Hormone;150;0
PPAR alpha;Amino Acid, Peptide, or Protein, Receptor;150;0
Cadherins;Amino Acid, Peptide, or Protein, Biologically Active Substance;150;0
Enalapril;Amino Acid, Peptide, or Protein, Pharmacologic Substance;149;0
Fish Oils;Lipid, Pharmacologic Substance, Biologically Active Substance;149;0
Chromatin;Amino Acid, Peptide, or Protein;149;0
Granulocyte Colony-Stimulating Factor;Amino Acid, Peptide, or Protein, Immunologic Factor;149;0
Regulatory Protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;149;0
cholinergic system;Biologically Active Substance;148;0
Proto-Oncogene Proteins c-myc;Amino Acid, Peptide, or Protein, Biologically Active Substance;148;0
Spermine;Organic Chemicals, Neuroreactive Substance or Biogenic Amine;148;0
Insulin-Like Growth Factor II;Amino Acid, Peptide, or Protein, Biologically Active Substance;148;0
RAC-Alpha Serine/Threonine Kinase;Amino Acid, Peptide, or Protein, Enzyme;148;0
Pyruvate;Organic Chemicals, Biologically Active Substance;148;0
Inositol Phosphates;Carbohydrate;148;0
Long chain fatty acid;Lipid, Biologically Active Substance;148;0
Vascular Cell Adhesion Molecule-1;Amino Acid, Peptide, or Protein, Immunologic Factor;148;0
PLA2G4A protein, human;Amino Acid, Peptide, or Protein, Enzyme;148;0
Heme Oxygenase-1;Amino Acid, Peptide, or Protein, Enzyme;148;0
Dehydroepiandrosterone Sulfate;Steroid, Pharmacologic Substance, Biologically Active Substance;147;0
Phosphorus;Element, Ion, or Isotope;147;0
derivatives;Chemical Viewed Structurally;147;0
von Willebrand Factor;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;146;0
Kinins;Amino Acid, Peptide, or Protein, Biologically Active Substance;146;0
synthetic peptide;Amino Acid, Peptide, or Protein;146;0
Peptide Hydrolases;Amino Acid, Peptide, or Protein, Enzyme;146;0
Insulin Receptor;Amino Acid, Peptide, or Protein, Enzyme, Receptor;146;0
NADP;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;146;0
inorganic phosphate;Pharmacologic Substance, Inorganic Chemical;146;0
Arachidonate;Eicosanoid, Biologically Active Substance;146;0
Transferase;Amino Acid, Peptide, or Protein, Enzyme;145;0
Endothelium-Dependent Relaxing Factors;Biologically Active Substance;145;0
Interleukin-18;Amino Acid, Peptide, or Protein, Immunologic Factor;145;0
Oleic Acid;Lipid, Pharmacologic Substance, Biologically Active Substance;145;0
Carbon;Element, Ion, or Isotope;145;0
Recombinant Proteins;Amino Acid, Peptide, or Protein;145;0
Hydroxyindoleacetic Acid;Organic Chemicals;144;13
Mucins;Amino Acid, Peptide, or Protein, Biologically Active Substance;144;0
Amylases;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;144;0
Tissue Extracts;Biologically Active Substance;144;0
Hydrolase;Amino Acid, Peptide, or Protein, Enzyme;144;0
Bombesin;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine, Hormone;144;0
MAP3K8 protein, human;Amino Acid, Peptide, or Protein, Enzyme;144;0
N-Acetylneuraminic Acid;Carbohydrate, Biologically Active Substance;144;0
Interleukin-12;Amino Acid, Peptide, or Protein, Immunologic Factor;143;0
Interferon-beta;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;143;0
Neuromodulators;Neuroreactive Substance or Biogenic Amine;143;0
neurotrophic factor;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;143;0
Fructose;Carbohydrate, Pharmacologic Substance;143;0
osteopontin;Amino Acid, Peptide, or Protein, Biologically Active Substance;143;0
Thymidine;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;142;0
Protein phosphatase;Amino Acid, Peptide, or Protein, Enzyme;142;0
Ceramides;Lipid, Biologically Active Substance;142;0
Albumin Human, USP;Amino Acid, Peptide, or Protein, Pharmacologic Substance;142;0
Cytochromes c;Amino Acid, Peptide, or Protein, Enzyme;142;0
Nitrite;Inorganic Chemical;142;2
Urokinase;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;141;0
Iodine;Pharmacologic Substance, Element, Ion, or Isotope;141;0
Thyrotropin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;141;0
Excitatory Amino Acids;Amino Acid, Peptide, or Protein;140;0
Transaminases;Amino Acid, Peptide, or Protein, Enzyme;140;0
Transcription Repressor/Corepressor;Amino Acid, Peptide, or Protein, Biologically Active Substance;140;0
Receptor, Angiotensin II;Amino Acid, Peptide, or Protein, Receptor;140;0
Hyaluronic Acid;Carbohydrate, Pharmacologic Substance, Biologically Active Substance;139;0
Plasmin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;139;0
free radical oxygen;Biologically Active Substance;139;0
beta-Galactosidase;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;139;0
Aspartic Acid;Amino Acid, Peptide, or Protein, Biologically Active Substance;139;3
Acute-Phase Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;139;0
Leukotriene B4;Eicosanoid, Biologically Active Substance;139;1
Oligosaccharides;Carbohydrate;139;0
Microtubule-Associated Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;138;0
Hyaluronan;Carbohydrate, Pharmacologic Substance, Biologically Active Substance;138;0
Minerals;Inorganic Chemical;138;0
Retinoids;Organic Chemicals, Pharmacologic Substance, Biologically Active Substance;138;0
Xanthine Oxidase;Amino Acid, Peptide, or Protein, Enzyme;138;0
DNA, Mitochondrial;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;137;0
Vitamin B6;Organic Chemicals, Pharmacologic Substance, Vitamin;137;0
Plasminogen Activator;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;137;0
Receptors, Progesterone;Amino Acid, Peptide, or Protein, Receptor;137;0
Thioctic Acid;Organic Chemicals, Pharmacologic Substance, Vitamin;137;0
Calpain;Amino Acid, Peptide, or Protein, Enzyme;137;0
Histones;Amino Acid, Peptide, or Protein, Biologically Active Substance;137;0
Diethylstilbestrol;Organic Chemicals, Pharmacologic Substance, Hormone;136;0
Beta Carotene;Organic Chemicals, Pharmacologic Substance, Vitamin;136;0
Angiotensinogen;Amino Acid, Peptide, or Protein, Biologically Active Substance;136;0
Prostaglandin D2;Eicosanoid, Biologically Active Substance;136;0
Isoenzymes;Amino Acid, Peptide, or Protein, Enzyme;136;0
Low Density Lipoprotein Receptor;Amino Acid, Peptide, or Protein, Receptor;136;0
Ornithine Decarboxylase;Amino Acid, Peptide, or Protein, Enzyme;136;0
Lysophosphatidylcholines;Lipid;136;0
Niacinamide;Organic Chemicals, Pharmacologic Substance, Vitamin;135;0
Plasminogen;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;135;0
Lactic acid;Organic Chemicals, Pharmacologic Substance, Biologically Active Substance;135;2
Lactoferrin;Amino Acid, Peptide, or Protein, Biologically Active Substance;135;0
Protein Isoforms;Amino Acid, Peptide, or Protein;135;0
soluble guanylyl cyclase;Amino Acid, Peptide, or Protein, Enzyme, Receptor;135;0
Metallothionein;Amino Acid, Peptide, or Protein, Biologically Active Substance;135;0
Laminin;Amino Acid, Peptide, or Protein, Biologically Active Substance;134;0
Heme;Organic Chemicals, Biologically Active Substance;134;0
Glycosylation End Products, Advanced;Organic Chemicals, Biologically Active Substance;134;0
Endogenous Surfactants;Lipid, Biologically Active Substance;134;0
Receptor, Angiotensin, Type 1;Amino Acid, Peptide, or Protein, Receptor;133;0
Fibrin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;133;1
Recombinant Growth Hormone;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;133;0
Pancreatic Polypeptide;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine, Hormone;133;0
Pro-Opiomelanocortin;Amino Acid, Peptide, or Protein, Hormone;133;0
cannabinoid receptor;Amino Acid, Peptide, or Protein, Receptor;133;0
Neprilysin;Enzyme;133;0
Fluorides;Pharmacologic Substance, Inorganic Chemical;133;0
Atom (substance);Element, Ion, or Isotope;133;0
Purines;Organic Chemicals;133;0
medroxyprogesterone acetate;Steroid, Pharmacologic Substance, Hormone;132;0
Neurohormones;Neuroreactive Substance or Biogenic Amine, Hormone;132;0
anandamide;Eicosanoid, Biologically Active Substance;132;1
Isotopes;Element, Ion, or Isotope;132;0
leukemia inhibitory factor;Amino Acid, Peptide, or Protein, Immunologic Factor;132;0
Cytochromes;Amino Acid, Peptide, or Protein, Biologically Active Substance;132;0
Galactose;Carbohydrate, Biologically Active Substance;132;0
Oils, Volatile;Organic Chemicals;132;0
Acetaldehyde;Organic Chemicals;132;0
pregabalin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;131;0
Benzodiazepine Receptor;Amino Acid, Peptide, or Protein, Receptor;131;0
Dopa;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine;131;0
phenylpyruvate tautomerase;Amino Acid, Peptide, or Protein, Enzyme;131;0
Receptors, Opioid, delta;Amino Acid, Peptide, or Protein, Receptor;131;0
Recombinant Urokinase;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;131;0
Creatine;Amino Acid, Peptide, or Protein, Biologically Active Substance;130;0
Polymerase;Amino Acid, Peptide, or Protein, Enzyme;130;0
Histocompatibility Antigens Class II;Amino Acid, Peptide, or Protein, Immunologic Factor;130;0
Reduced Glutathione;Amino Acid, Peptide, or Protein, Pharmacologic Substance;130;0
Phosphatidylglycerols;Lipid;130;0
Macrophage Colony-Stimulating Factor;Amino Acid, Peptide, or Protein, Immunologic Factor;130;0
Hydroxyl Radical;Inorganic Chemical;130;0
Somatropin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;129;3
Carcinoembryonic Antigen;Amino Acid, Peptide, or Protein, Immunologic Factor;129;0
Neural Cell Adhesion Molecules;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;129;0
All-Trans-Retinol;Organic Chemicals, Pharmacologic Substance, Vitamin;129;0
Integral Membrane Proteins;Amino Acid, Peptide, or Protein;129;0
macromolecule;Chemical Viewed Structurally;129;0
Aprotinin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;129;0
Connexin 43;Amino Acid, Peptide, or Protein, Biologically Active Substance;129;0
Phosphoproteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;129;0
COLLAGENASE;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;129;0
Lipase;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;129;0
Promoter Regions, Genetic;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;128;0
Dopamine-beta-monooxygenase;Amino Acid, Peptide, or Protein, Enzyme;128;0
N,N-dimethylarginine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;128;0
Tumor Necrosis Factor Ligand Superfamily Member 6;Amino Acid, Peptide, or Protein, Biologically Active Substance;128;0
Fatty Acids, Unsaturated;Lipid;128;0
Caseins;Amino Acid, Peptide, or Protein, Biologically Active Substance;128;0
Chemotactic Factors;Biologically Active Substance;127;0
rho-Associated Kinases;Amino Acid, Peptide, or Protein, Enzyme;127;0
Androgen Receptor;Amino Acid, Peptide, or Protein, Receptor;126;0
NADH;Nucleic Acid, Nucleoside, or Nucleotide, Pharmacologic Substance, Biologically Active Substance;126;0
resistin;Amino Acid, Peptide, or Protein, Hormone;126;1
serotonin transporter;Amino Acid, Peptide, or Protein, Biologically Active Substance;125;0
Receptors, Interleukin-1;Amino Acid, Peptide, or Protein, Immunologic Factor, Receptor;125;0
Heparin, Low-Molecular-Weight;Carbohydrate, Pharmacologic Substance;125;0
